GEMS.Station.Number;"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
IND01116;"2020-04-02";"00:00";0.3;"H-T";"0";"";406.4;"mg/l";"Unknown"
IND01237;"2021-03-01";"00:00";0.3;"H-T";"0";"";192.3;"mg/l";"Unknown"
IND00747;"2021-11-01";"00:00";0.3;"H-Ca";"0";"";94.6;"mg/l";"Unknown"
IND00257;"2021-10-11";"00:00";0.3;"H-T";"0";"";149.87;"mg/l";"Unknown"
IND00210;"2021-07-22";"00:00";0.3;"H-Ca";"0";"";159.5;"mg/l";"Unknown"
IND00761;"2021-08-12";"00:00";0.3;"H-T";"0";"";89.02;"mg/l";"Unknown"
IND00828;"2021-09-02";"00:00";0.3;"H-Ca";"0";"";68.2;"mg/l";"Unknown"
IND00917;"2021-09-11";"00:00";0.3;"H-T";"0";"";122.16;"mg/l";"Unknown"
IND01116;"2021-03-03";"00:00";0.3;"pH";"0";"";6.7;"---";"Unknown"
IND01237;"2021-03-05";"00:00";0.3;"pH";"0";"";7.6;"---";"Unknown"
IND00747;"2021-03-02";"00:00";0.3;"pH";"0";"";7;"---";"Unknown"
IND00257;"2021-03-03";"00:00";0.3;"pH";"0";"";7.7;"---";"Unknown"
IND00210;"2021-03-16";"00:00";0.3;"pH";"0";"";7.83;"---";"Unknown"
IND01734;"2021-03-08";"00:00";0.3;"pH";"0";"";7.18;"---";"Unknown"
IND00761;"2021-03-04";"00:00";0.3;"pH";"0";"";7.1;"---";"Unknown"
IND00828;"2021-03-02";"00:00";0.3;"pH";"0";"";7;"---";"Unknown"
IND00917;"2021-03-03";"00:00";0.3;"pH";"0";"";8.42;"---";"Unknown"
IND01116;"2021-07-12";"00:00";0.3;"Cl-Dis";"0";"";6;"mg/l";"Unknown"
IND01237;"2021-08-11";"00:00";0.3;"Cl-Dis";"0";"";17.85;"mg/l";"Unknown"
IND00747;"2021-08-11";"00:00";0.3;"Cl-Dis";"0";"";13.22;"mg/l";"Unknown"
IND00257;"2021-08-21";"00:00";0.3;"Cl-Dis";"0";"";86.25;"mg/l";"Unknown"
IND00210;"2021-09-21";"00:00";0.3;"Cl-Dis";"0";"";91.06;"mg/l";"Unknown"
IND01734;"2021-09-21";"00:00";0.3;"Cl-Dis";"0";"";30;"mg/l";"Unknown"
IND00761;"2021-11-01";"00:00";0.3;"Cl-Dis";"0";"";38;"mg/l";"Unknown"
IND00828;"2021-01-09";"00:00";0.3;"Cl-Dis";"0";"";109.2;"mg/l";"Unknown"
IND00917;"2021-08-23";"00:00";0.3;"Cl-Dis";"0";"";94.6;"mg/l";"Unknown"
IND01116;"2020-12-16";"00:00";0.3;"F-Dis";"0";"";0.38;"mg/l";"Unknown"
IND01237;"2020-12-05";"00:00";0.3;"F-Dis";"0";"";0.2;"mg/l";"Unknown"
IND00747;"2020-12-05";"00:00";0.3;"F-Dis";"0";"";0.2;"mg/l";"Unknown"
IND00257;"2020-12-08";"00:00";0.3;"F-Dis";"0";"";0.32;"mg/l";"Unknown"
IND00210;"2020-11-26";"00:00";0.3;"F-Dis";"0";"";0.36;"mg/l";"Unknown"
IND01734;"2020-11-04";"00:00";0.3;"F-Dis";"0";"";0.2;"mg/l";"Unknown"
IND00761;"2020-11-12";"00:00";0.3;"F-Dis";"0";"";0.05;"mg/l";"Unknown"
IND00828;"2020-07-07";"00:00";0.3;"F-Dis";"0";"";0.08;"mg/l";"Unknown"
IND00917;"2020-12-29";"00:00";0.3;"F-Dis";"0";"";0.25;"mg/l";"Unknown"
IND01237;"2020-01-02";"00:00";0.3;"TS";"0";"";16;"mg/l";"Unknown"
IND00257;"2020-01-06";"00:00";0.3;"TS";"0";"";58;"mg/l";"Unknown"
IND00210;"2020-01-20";"00:00";0.3;"TS";"0";"";28;"mg/l";"Unknown"
IND01734;"2020-01-04";"00:00";0.3;"TS";"0";"";13;"mg/l";"Unknown"
IND00828;"2020-01-22";"00:00";0.3;"TS";"0";"";35;"mg/l";"Unknown"
IND01116;"2020-10-21";"00:00";0.3;"Pb-Dis";"0";"";0.008;"mg/l";"Unknown"
IND01237;"2020-10-03";"00:00";0.3;"Pb-Dis";"0";"";0.1;"mg/l";"Unknown"
IND00747;"2020-02-17";"00:00";0.3;"Pb-Dis";"0";"";0.01212;"mg/l";"Unknown"
IND00257;"2020-10-08";"00:00";0.3;"Pb-Dis";"0";"";0.1;"mg/l";"Unknown"
IND00210;"2020-04-13";"00:00";0.3;"Pb-Dis";"0";"";0.079;"mg/l";"Unknown"
IND01734;"2020-10-08";"00:00";0.3;"Pb-Dis";"0";"";0.016;"mg/l";"Unknown"
IND00761;"2018-04-05";"00:00";0.3;"Pb-Dis";"0";"";0.00085;"mg/l";"Unknown"
IND00828;"2020-10-17";"00:00";0.3;"Pb-Dis";"0";"";0.037;"mg/l";"Unknown"
IND00917;"2020-01-04";"00:00";0.3;"Pb-Dis";"0";"";13;"mg/l";"Unknown"
